,Name,Url,Stargazer_Count,Total Releases,Age
312,flyway/flyway,https://github.com/flyway/flyway,6433,134,9
313,debezium/debezium,https://github.com/debezium/debezium,6408,0,6
314,gocd/gocd,https://github.com/gocd/gocd,6391,70,8
315,google/closure-compiler,https://github.com/google/closure-compiler,6387,0,7
316,zendesk/android-floating-action-button,https://github.com/zendesk/android-floating-action-button,6358,0,7
317,Meituan-Dianping/walle,https://github.com/Meituan-Dianping/walle,6355,1,5
318,apache/storm,https://github.com/apache/storm,6335,0,8
319,zo0r/react-native-push-notification,https://github.com/zo0r/react-native-push-notification,6317,35,6
320,TechEmpower/FrameworkBenchmarks,https://github.com/TechEmpower/FrameworkBenchmarks,6310,15,8
321,GrenderG/Toasty,https://github.com/GrenderG/Toasty,6306,19,5
322,koush/ion,https://github.com/koush/ion,6305,0,8
323,markzhai/AndroidPerformanceMonitor,https://github.com/markzhai/AndroidPerformanceMonitor,6301,0,6
324,vinc3m1/RoundedImageView,https://github.com/vinc3m1/RoundedImageView,6296,19,9
325,NanoHttpd/nanohttpd,https://github.com/NanoHttpd/nanohttpd,6268,3,9
326,li-xiaojun/XPopup,https://github.com/li-xiaojun/XPopup,6267,176,3
327,Tencent/Shadow,https://github.com/Tencent/Shadow,6238,3,2
328,ssssssss-team/spider-flow,https://github.com/ssssssss-team/spider-flow,6233,2,1
329,processing/processing,https://github.com/processing/processing,6182,48,9
330,languagetool-org/languagetool,https://github.com/languagetool-org/languagetool,6179,0,8
331,guardianproject/haven,https://github.com/guardianproject/haven,6173,37,5
332,ikew0ng/SwipeBackLayout,https://github.com/ikew0ng/SwipeBackLayout,6140,0,8
333,zouzg/mybatis-generator-gui,https://github.com/zouzg/mybatis-generator-gui,6130,16,5
334,rengwuxian/MaterialEditText,https://github.com/rengwuxian/MaterialEditText,6118,19,7
335,NLPchina/ansj_seg,https://github.com/NLPchina/ansj_seg,6104,3,9
336,smuyyh/BookReader,https://github.com/smuyyh/BookReader,6073,0,5
337,Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server,6062,0,11
338,react-native-video/react-native-video,https://github.com/react-native-video/react-native-video,6051,6,6
339,pedrovgs/EffectiveAndroidUI,https://github.com/pedrovgs/EffectiveAndroidUI,6046,0,7
340,rey5137/material,https://github.com/rey5137/material,6046,10,7
341,google/physical-web,https://github.com/google/physical-web,6036,17,7
342,ArthurHub/Android-Image-Cropper,https://github.com/ArthurHub/Android-Image-Cropper,6032,32,7
343,airbytehq/airbyte,https://github.com/airbytehq/airbyte,6024,185,1
344,apache/jmeter,https://github.com/apache/jmeter,5994,0,11
345,aa112901/remusic,https://github.com/aa112901/remusic,5983,0,5
346,apache/incubator-shenyu,https://github.com/apache/incubator-shenyu,5976,5,3
347,daimajia/NumberProgressBar,https://github.com/daimajia/NumberProgressBar,5976,3,7
